,Request,Appointment,CarType
68,2022-10-16 07:26,2022-11-06 07:19,medium
69,2022-10-04 18:28,2022-10-04 18:28,full-size
70,2022-10-20 13:49,2022-10-20 13:49,compact
71,2022-09-09 07:56,2022-10-23 07:22,full-size
72,2022-10-15 07:02,2022-10-19 18:07,class 1 truck
73,2022-10-06 14:47,2022-11-15 09:59,compact
74,2022-10-17 16:02,2022-10-17 16:02,class 2 truck
75,2022-11-02 07:33,2022-11-02 11:26,class 2 truck
76,2022-11-28 10:35,2022-11-28 10:35,medium
77,2022-11-15 18:06,2022-11-30 17:01,class 2 truck
78,2022-10-02 14:56,2022-10-31 08:27,compact
79,2022-09-26 18:25,2022-11-14 07:33,compact
80,2022-09-21 15:31,2022-10-13 07:47,full-size
81,2022-11-09 14:31,2022-11-09 14:31,compact
82,2022-11-09 15:41,2022-11-15 11:48,class 1 truck
83,2022-11-21 18:30,2022-11-23 13:17,compact
84,2022-09-26 09:21,2022-11-13 12:38,class 1 truck
85,2022-09-07 09:19,2022-10-10 18:17,full-size
86,2022-09-06 10:56,2022-10-30 18:09,class 2 truck
87,2022-09-09 09:31,2022-11-13 09:35,compact
88,2022-09-08 13:43,2022-11-08 07:31,medium
89,2022-10-02 08:29,2022-10-02 08:29,full-size
90,2022-09-30 07:42,2022-10-14 18:29,medium
91,2022-10-22 15:07,2022-10-22 15:07,compact
92,2022-11-11 18:30,2022-11-29 07:49,full-size
93,2022-11-30 15:31,2022-11-30 18:30,compact
94,2022-10-01 10:52,2022-11-04 18:28,medium
95,2022-10-01 18:12,2022-11-20 18:30,class 1 truck
96,2022-09-12 14:26,2022-10-13 18:30,compact
97,2022-11-24 18:30,2022-11-24 18:30,full-size
98,2022-09-02 12:44,2022-11-15 07:36,class 2 truck
99,2022-09-27 07:10,2022-10-14 18:21,class 1 truck
100,2022-10-27 18:14,2022-10-27 18:14,compact
101,2022-10-22 11:45,2022-10-22 11:45,class 2 truck
102,2022-09-24 07:54,2022-10-31 18:16,class 2 truck
103,2022-10-11 07:50,2022-10-25 07:44,compact
104,2022-11-05 07:39,2022-11-05 07:39,compact
105,2022-10-20 08:18,2022-10-20 08:18,full-size
106,2022-10-20 18:30,2022-11-08 12:38,class 2 truck
107,2022-10-04 15:38,2022-10-14 18:30,class 1 truck
108,2022-09-30 07:49,2022-10-23 09:22,class 1 truck
109,2022-09-01 13:16,2022-10-12 07:02,medium
110,2022-11-21 07:30,2022-11-27 11:13,class 2 truck
111,2022-10-02 17:02,2022-10-17 16:22,full-size
112,2022-11-12 07:38,2022-11-20 18:30,medium
113,2022-11-29 07:20,2022-11-29 07:20,class 1 truck
114,2022-11-24 13:12,2022-11-26 07:32,medium
115,2022-09-26 07:12,2022-10-29 08:03,class 2 truck
116,2022-09-07 15:53,2022-10-30 07:22,class 1 truck
117,2022-09-25 18:30,2022-10-17 07:47,class 1 truck
118,2022-09-16 17:23,2022-10-22 07:47,full-size
119,2022-10-23 07:02,2022-10-25 18:01,class 2 truck
120,2022-09-29 13:47,2022-10-20 07:13,class 1 truck
121,2022-09-12 11:50,2022-10-27 07:43,class 2 truck
122,2022-11-02 07:56,2022-11-02 07:56,medium
123,2022-09-25 16:01,2022-11-14 11:25,full-size
124,2022-11-15 18:30,2022-11-27 17:55,compact
125,2022-09-24 07:45,2022-11-06 07:15,medium
126,2022-09-03 12:04,2022-11-30 07:35,medium
127,2022-09-24 07:49,2022-10-07 18:15,compact
128,2022-11-10 07:26,2022-11-10 07:26,medium
129,2022-10-20 17:42,2022-11-03 07:49,class 2 truck
130,2022-10-19 10:04,2022-10-19 10:04,compact
131,2022-10-06 07:51,2022-10-27 18:25,class 1 truck
132,2022-11-25 07:14,2022-11-25 07:14,class 2 truck
133,2022-11-16 18:30,2022-11-16 18:30,full-size
134,2022-11-17 18:30,2022-11-24 07:23,full-size
135,2022-10-14 07:04,2022-10-15 18:15,class 2 truck
136,2022-10-27 12:29,2022-10-27 12:29,full-size
137,2022-09-09 18:23,2022-11-13 08:48,class 1 truck
138,2022-11-18 18:02,2022-11-28 09:41,medium
139,2022-10-26 18:30,2022-11-10 11:20,compact
140,2022-09-08 07:57,2022-11-27 12:19,class 1 truck
141,2022-11-05 18:06,2022-11-15 18:03,class 1 truck
142,2022-10-08 07:16,2022-10-08 18:30,class 2 truck
143,2022-09-29 07:44,2022-10-25 07:00,full-size
144,2022-11-22 18:30,2022-11-24 07:19,compact
145,2022-10-29 18:30,2022-10-31 13:52,class 2 truck
146,2022-09-21 18:30,2022-11-19 13:07,class 1 truck
147,2022-10-19 16:30,2022-11-21 07:33,full-size
148,2022-10-31 11:54,2022-11-13 07:27,class 2 truck
149,2022-10-11 07:10,2022-11-15 15:52,class 1 truck
150,2022-09-29 12:16,2022-10-29 18:29,medium
151,2022-10-24 16:25,2022-10-24 16:25,full-size
152,2022-09-27 07:34,2022-10-31 07:55,class 1 truck
153,2022-11-13 07:33,2022-11-19 11:28,class 1 truck
154,2022-10-08 18:02,2022-10-08 18:02,medium
155,2022-10-16 07:49,2022-10-16 07:49,full-size
156,2022-10-16 07:41,2022-11-02 17:03,compact
157,2022-11-07 18:30,2022-11-09 18:30,compact
158,2022-09-16 18:30,2022-11-17 07:08,full-size
159,2022-11-25 15:56,2022-11-25 15:56,class 2 truck
160,2022-11-09 12:39,2022-11-09 12:39,class 1 truck
161,2022-11-02 18:30,2022-11-07 12:33,class 1 truck
162,2022-10-12 17:07,2022-11-23 10:12,full-size
163,2022-11-28 15:25,2022-11-30 15:00,medium
164,2022-11-25 12:26,2022-11-25 12:26,compact
165,2022-09-04 11:00,2022-10-21 08:44,full-size
166,2022-10-26 07:26,2022-11-07 15:09,compact
167,2022-11-14 08:19,2022-11-16 11:08,class 1 truck
168,2022-11-22 07:53,2022-11-22 07:53,compact
169,2022-09-08 07:28,2022-11-14 18:30,full-size
170,2022-09-07 18:02,2022-10-10 07:26,compact
171,2022-11-18 13:31,2022-11-21 07:28,compact
172,2022-11-28 07:14,2022-11-28 07:14,medium
173,2022-10-18 09:58,2022-10-18 09:58,class 1 truck
174,2022-11-18 07:01,2022-11-30 07:28,class 2 truck
175,2022-10-25 17:40,2022-10-25 17:40,medium
176,2022-09-22 18:30,2022-11-23 12:21,compact
177,2022-10-28 09:36,2022-10-28 09:36,full-size
178,2022-10-27 08:18,2022-11-29 10:33,compact
179,2022-10-13 18:14,2022-11-29 07:35,class 2 truck
180,2022-10-11 09:49,2022-11-11 11:34,compact
181,2022-11-12 17:09,2022-11-30 13:02,medium
182,2022-09-04 15:42,2022-11-10 18:29,compact
183,2022-10-12 12:13,2022-11-21 09:29,class 1 truck
184,2022-09-07 10:01,2022-11-01 07:05,medium
185,2022-09-18 07:21,2022-10-21 17:15,medium
186,2022-10-29 18:30,2022-10-29 18:30,compact
187,2022-10-23 15:27,2022-10-23 15:27,full-size
188,2022-10-07 11:29,2022-10-17 18:25,medium
189,2022-11-10 18:30,2022-11-15 18:18,compact
190,2022-09-26 18:30,2022-10-03 15:11,class 1 truck
191,2022-10-12 16:20,2022-10-23 15:15,medium
192,2022-11-07 07:00,2022-11-20 07:27,class 2 truck
193,2022-11-27 18:30,2022-11-27 18:17,class 2 truck
194,2022-10-02 18:30,2022-11-30 07:04,class 2 truck
195,2022-10-07 18:30,2022-10-07 18:30,full-size
196,2022-09-30 18:23,2022-11-13 18:02,class 1 truck
197,2022-09-25 14:26,2022-11-17 18:23,class 2 truck
198,2022-09-07 07:52,2022-11-07 18:30,full-size
199,2022-09-11 18:30,2022-11-05 18:19,medium
200,2022-10-14 13:16,2022-11-16 18:17,compact
201,2022-11-02 07:49,2022-11-02 07:49,full-size
202,2022-10-02 07:37,2022-10-02 07:37,compact
203,2022-09-10 14:48,2022-11-18 11:04,medium
204,2022-11-20 07:09,2022-11-20 11:48,class 2 truck
205,2022-11-04 16:53,2022-11-22 09:39,medium
206,2022-10-28 07:42,2022-11-11 18:30,class 1 truck
207,2022-11-06 09:19,2022-11-08 18:23,compact
208,2022-10-15 11:06,2022-10-23 08:58,class 1 truck
209,2022-09-12 07:05,2022-11-13 07:42,class 2 truck
210,2022-11-10 15:49,2022-11-29 17:42,medium
211,2022-09-14 18:30,2022-11-07 17:38,medium
212,2022-11-10 12:57,2022-11-10 12:57,class 2 truck
213,2022-10-17 07:25,2022-10-17 07:25,compact
214,2022-09-30 13:00,2022-10-31 18:30,class 1 truck
215,2022-10-16 09:18,2022-11-15 14:35,medium
216,2022-11-14 07:36,2022-11-21 08:29,class 2 truck
217,2022-10-21 18:30,2022-11-12 16:33,medium
218,2022-09-13 18:24,2022-10-02 13:15,class 2 truck
219,2022-11-21 07:49,2022-11-25 09:10,class 1 truck
220,2022-10-05 10:58,2022-11-27 07:01,class 1 truck
221,2022-09-28 09:59,2022-11-26 07:03,class 2 truck
222,2022-09-27 07:26,2022-10-03 07:55,class 1 truck
223,2022-11-22 07:07,2022-11-29 18:30,compact
224,2022-10-05 18:30,2022-10-08 11:25,compact
225,2022-09-28 07:54,2022-11-07 07:47,class 1 truck
226,2022-09-11 18:20,2022-11-08 12:04,class 1 truck
227,2022-11-24 18:12,2022-11-24 18:12,compact
228,2022-11-21 07:33,2022-11-26 09:54,class 1 truck
229,2022-09-23 07:01,2022-11-23 18:30,medium
230,2022-10-24 08:23,2022-10-24 08:23,medium
231,2022-09-01 18:22,2022-11-24 18:30,medium
232,2022-11-04 07:59,2022-11-11 17:28,full-size
233,2022-11-04 15:01,2022-11-25 07:44,compact
234,2022-09-17 11:49,2022-11-07 13:58,class 1 truck
235,2022-09-21 18:30,2022-10-04 07:44,full-size
236,2022-11-16 18:30,2022-11-17 10:50,full-size
237,2022-09-16 13:18,2022-11-08 09:32,full-size
238,2022-10-06 07:20,2022-10-06 07:20,medium
239,2022-10-09 07:18,2022-10-17 18:30,class 1 truck
240,2022-11-19 18:30,2022-11-21 08:23,full-size
241,2022-11-19 16:27,2022-11-19 16:27,medium
242,2022-09-30 13:09,2022-11-04 08:38,compact
243,2022-10-30 18:30,2022-11-29 07:22,medium
244,2022-11-27 18:12,2022-11-29 10:20,medium
245,2022-11-01 18:30,2022-11-26 18:12,medium
246,2022-09-03 07:22,2022-11-27 18:12,medium
247,2022-09-06 07:14,2022-11-08 08:54,medium
248,2022-09-04 10:39,2022-10-29 18:30,class 2 truck
249,2022-11-26 18:30,2022-11-27 07:38,full-size
250,2022-11-07 07:54,2022-11-07 07:54,class 1 truck
251,2022-10-15 12:00,2022-10-26 07:26,medium
252,2022-10-08 07:40,2022-10-18 09:11,medium
253,2022-10-22 16:05,2022-11-18 14:45,class 2 truck
254,2022-10-23 15:25,2022-11-08 18:30,medium
255,2022-09-01 16:01,2022-10-03 16:39,full-size
256,2022-09-30 07:18,2022-11-15 07:54,medium
257,2022-10-11 18:30,2022-10-11 18:30,compact
258,2022-10-11 18:00,2022-10-11 18:00,full-size
259,2022-09-19 13:24,2022-10-21 07:14,medium
260,2022-09-13 18:30,2022-11-11 12:27,compact
261,2022-10-22 17:33,2022-11-16 18:30,full-size
262,2022-11-06 18:20,2022-11-18 07:17,full-size
263,2022-10-03 07:58,2022-11-24 09:48,medium
264,2022-09-24 07:11,2022-10-06 13:02,medium
265,2022-11-22 15:50,2022-11-22 15:50,medium
266,2022-11-07 07:33,2022-11-13 18:30,full-size
267,2022-09-16 07:43,2022-10-05 08:53,class 2 truck
268,2022-09-12 12:28,2022-10-04 18:30,class 1 truck
269,2022-10-19 18:30,2022-10-19 18:30,full-size
270,2022-11-05 07:00,2022-11-23 07:06,medium
271,2022-10-16 09:50,2022-10-29 10:55,compact
272,2022-10-01 07:22,2022-10-01 07:22,medium
273,2022-09-23 07:24,2022-10-17 18:30,class 1 truck
274,2022-09-16 07:01,2022-10-28 18:07,class 2 truck
275,2022-10-24 07:35,2022-11-06 07:54,class 1 truck
276,2022-09-06 14:34,2022-11-24 07:49,full-size
277,2022-09-20 16:15,2022-10-14 16:08,compact
278,2022-11-06 11:48,2022-11-06 11:48,full-size
279,2022-10-26 18:17,2022-11-05 07:13,full-size
280,2022-10-21 16:34,2022-11-26 07:26,class 2 truck
281,2022-11-22 18:30,2022-11-27 07:20,medium
282,2022-11-08 18:30,2022-11-30 07:42,compact
283,2022-09-19 13:34,2022-11-22 07:08,class 1 truck
284,2022-10-02 07:27,2022-10-02 07:27,class 1 truck
285,2022-09-17 15:01,2022-11-19 07:18,class 1 truck
286,2022-09-06 18:23,2022-11-25 12:25,compact
287,2022-10-15 07:40,2022-10-28 07:21,class 2 truck
288,2022-10-04 12:38,2022-11-30 07:03,full-size
289,2022-09-09 18:30,2022-11-17 16:18,medium
290,2022-11-15 15:54,2022-11-15 15:54,compact
291,2022-10-20 15:02,2022-10-20 15:02,compact
292,2022-09-29 07:12,2022-10-19 08:19,class 1 truck
293,2022-09-01 12:15,2022-11-30 15:58,class 1 truck
294,2022-11-01 07:09,2022-11-01 07:09,class 2 truck
295,2022-11-20 18:27,2022-11-25 07:49,class 1 truck
296,2022-09-27 18:30,2022-10-23 18:07,class 1 truck
297,2022-09-11 18:16,2022-11-29 10:59,full-size
298,2022-10-16 09:57,2022-11-14 15:29,full-size
299,2022-11-29 09:52,2022-11-30 07:33,full-size
300,2022-10-07 08:59,2022-10-07 08:59,class 1 truck
301,2022-10-27 14:41,2022-10-29 14:16,class 1 truck
302,2022-10-30 18:30,2022-11-30 17:21,full-size
303,2022-10-24 07:14,2022-10-28 07:58,full-size
304,2022-11-14 16:56,2022-11-30 12:17,compact
305,2022-11-28 10:04,2022-11-28 18:29,compact
306,2022-11-23 07:43,2022-11-27 07:45,medium
307,2022-11-17 18:30,2022-11-20 17:58,medium
308,2022-09-30 07:01,2022-11-20 09:50,class 2 truck
309,2022-10-17 13:23,2022-10-20 16:02,full-size
310,2022-10-18 08:29,2022-10-25 07:53,class 2 truck
311,2022-09-09 17:51,2022-11-17 18:30,class 1 truck
312,2022-09-14 17:38,2022-11-17 09:58,medium
313,2022-10-30 16:54,2022-10-30 16:54,medium
314,2022-09-09 18:30,2022-10-04 11:55,class 1 truck
315,2022-10-31 18:21,2022-11-15 07:33,medium
316,2022-10-15 18:30,2022-11-04 07:04,compact
317,2022-11-24 07:37,2022-11-24 07:37,class 1 truck
318,2022-10-30 07:42,2022-10-30 07:42,compact
319,2022-09-03 08:38,2022-11-07 17:21,compact
320,2022-09-28 07:37,2022-11-30 15:16,class 1 truck
321,2022-09-10 07:47,2022-11-17 15:40,full-size
322,2022-11-28 15:42,2022-11-29 14:17,medium
323,2022-10-12 09:07,2022-10-12 09:07,medium
324,2022-09-04 07:16,2022-10-22 18:30,compact
325,2022-11-22 18:21,2022-11-29 07:38,compact
326,2022-11-05 07:55,2022-11-24 09:59,full-size
327,2022-09-20 08:20,2022-10-17 07:08,medium
328,2022-09-03 17:25,2022-10-03 13:51,class 1 truck
329,2022-09-08 10:18,2022-11-12 18:30,medium
330,2022-10-20 16:25,2022-11-04 12:03,medium
331,2022-10-05 10:00,2022-11-29 07:35,full-size
332,2022-11-11 07:49,2022-11-29 18:05,class 1 truck
333,2022-10-03 13:31,2022-10-04 07:01,compact
334,2022-10-11 15:21,2022-11-16 14:59,medium
335,2022-10-31 09:28,2022-10-31 09:28,full-size
336,2022-11-11 18:30,2022-11-11 18:30,medium
337,2022-09-03 07:11,2022-10-21 18:09,compact
338,2022-10-15 07:13,2022-11-30 15:18,full-size
339,2022-11-23 18:07,2022-11-23 18:07,medium
340,2022-11-17 07:56,2022-11-17 07:56,medium
341,2022-09-26 18:02,2022-10-04 08:00,compact
342,2022-10-12 14:03,2022-11-27 18:30,compact
343,2022-10-27 11:27,2022-11-24 10:48,class 2 truck
344,2022-10-02 18:00,2022-11-06 07:07,medium
345,2022-09-07 07:06,2022-10-30 11:42,medium
346,2022-10-09 15:57,2022-10-26 09:22,compact
347,2022-09-21 18:30,2022-10-05 15:08,medium
348,2022-11-04 16:54,2022-11-08 18:04,class 1 truck
349,2022-09-26 18:30,2022-11-14 18:30,full-size
350,2022-09-15 07:03,2022-10-19 18:30,medium
351,2022-10-18 16:11,2022-10-18 16:11,class 2 truck
352,2022-10-17 13:31,2022-10-30 07:34,class 2 truck
353,2022-10-19 07:06,2022-10-19 18:30,class 1 truck
354,2022-09-17 18:07,2022-10-16 07:05,class 1 truck
355,2022-10-25 14:19,2022-10-25 18:30,compact
356,2022-09-04 07:26,2022-11-11 11:39,full-size
357,2022-11-16 07:19,2022-11-25 07:32,class 2 truck
358,2022-10-26 07:11,2022-11-18 18:30,compact
359,2022-09-09 07:50,2022-10-20 18:30,full-size
360,2022-11-13 18:17,2022-11-27 18:30,compact
361,2022-09-22 10:56,2022-10-13 07:58,class 2 truck
362,2022-11-25 18:20,2022-11-25 18:20,full-size
363,2022-09-07 16:24,2022-11-29 11:40,full-size
364,2022-09-03 08:57,2022-10-12 09:24,compact
365,2022-09-08 09:43,2022-10-16 18:19,class 2 truck
366,2022-10-24 07:52,2022-11-16 18:02,class 1 truck
367,2022-10-06 18:22,2022-10-27 16:24,class 1 truck
368,2022-09-10 14:12,2022-11-23 07:19,class 2 truck
369,2022-09-08 12:59,2022-10-24 18:23,full-size
370,2022-11-03 07:44,2022-11-03 18:30,class 2 truck
371,2022-11-09 11:29,2022-11-18 18:17,full-size
372,2022-11-06 18:30,2022-11-07 07:11,class 1 truck
373,2022-11-22 18:27,2022-11-22 18:27,medium
374,2022-11-21 12:28,2022-11-29 07:04,class 2 truck
375,2022-09-04 09:50,2022-10-03 08:21,medium
376,2022-09-18 08:06,2022-10-17 07:25,class 2 truck
377,2022-11-16 18:15,2022-11-25 16:51,medium
378,2022-11-07 18:15,2022-11-09 18:30,class 1 truck
379,2022-09-21 12:57,2022-10-21 07:53,full-size
380,2022-10-31 12:40,2022-11-02 09:40,compact
381,2022-11-26 18:16,2022-11-26 18:30,compact
382,2022-09-06 07:18,2022-10-26 18:30,full-size
383,2022-09-28 14:59,2022-11-14 07:48,full-size
384,2022-09-20 07:54,2022-10-01 18:04,full-size
385,2022-09-22 18:30,2022-11-29 17:19,class 2 truck
386,2022-10-23 15:48,2022-10-23 15:48,full-size
387,2022-10-18 13:17,2022-11-01 14:58,medium
388,2022-11-08 18:30,2022-11-26 12:10,compact
389,2022-11-07 12:45,2022-11-08 18:30,class 1 truck
390,2022-11-23 10:01,2022-11-27 11:15,compact
391,2022-10-09 07:22,2022-10-24 07:55,full-size
392,2022-11-06 18:13,2022-11-29 11:59,class 1 truck
393,2022-10-22 12:42,2022-10-23 18:17,compact
394,2022-10-12 16:23,2022-10-18 07:44,full-size
395,2022-10-28 18:30,2022-11-08 07:04,class 1 truck
396,2022-11-01 12:24,2022-11-02 11:17,class 2 truck
397,2022-11-02 07:26,2022-11-28 18:30,compact
398,2022-09-27 13:49,2022-11-04 15:37,compact
399,2022-10-23 18:30,2022-10-23 18:30,full-size
400,2022-10-18 10:20,2022-11-07 15:16,class 2 truck
401,2022-10-30 16:11,2022-10-30 16:11,class 1 truck
402,2022-09-25 07:06,2022-11-27 10:51,class 2 truck
403,2022-09-06 17:36,2022-11-24 13:48,class 1 truck
404,2022-09-24 18:30,2022-11-09 18:03,class 2 truck
405,2022-10-27 07:35,2022-11-23 09:13,full-size
406,2022-10-23 18:10,2022-11-06 18:30,compact
407,2022-09-07 18:02,2022-11-28 18:30,compact
408,2022-10-01 18:19,2022-10-01 18:19,medium
409,2022-11-19 10:13,2022-11-19 10:13,compact
410,2022-09-21 09:34,2022-11-18 07:40,class 1 truck
411,2022-10-15 18:02,2022-11-06 07:50,medium
412,2022-10-07 07:02,2022-11-23 07:51,class 2 truck
413,2022-09-15 07:52,2022-11-23 18:16,compact
414,2022-10-31 11:51,2022-11-19 18:04,class 2 truck
415,2022-10-29 18:30,2022-11-13 16:46,medium
416,2022-11-29 18:12,2022-11-30 12:41,class 2 truck
417,2022-10-27 07:20,2022-11-22 18:16,compact
418,2022-11-28 07:32,2022-11-28 18:02,full-size
419,2022-09-08 18:30,2022-11-18 10:49,full-size
420,2022-11-10 08:00,2022-11-10 08:00,class 1 truck
421,2022-09-17 10:38,2022-10-19 07:50,class 1 truck
422,2022-10-06 17:53,2022-11-03 07:54,full-size
423,2022-11-20 18:11,2022-11-24 13:31,medium
424,2022-10-16 18:20,2022-11-11 18:30,compact
425,2022-11-30 07:34,2022-11-30 16:20,class 1 truck
426,2022-11-17 07:52,2022-11-27 07:34,compact
427,2022-09-28 18:30,2022-11-27 07:05,full-size
428,2022-10-29 16:38,2022-11-29 07:47,full-size
429,2022-10-25 12:08,2022-11-28 07:15,medium
430,2022-09-26 07:26,2022-10-04 07:03,medium
431,2022-11-25 15:48,2022-11-25 15:48,medium
432,2022-11-15 11:46,2022-11-23 12:29,class 2 truck
433,2022-10-16 08:58,2022-10-16 08:58,medium
434,2022-10-31 14:25,2022-11-11 07:19,class 1 truck
435,2022-11-23 18:16,2022-11-27 07:21,compact
436,2022-10-18 08:00,2022-10-18 08:00,full-size
437,2022-11-21 17:33,2022-11-24 18:30,compact
438,2022-09-18 16:43,2022-11-29 11:57,class 1 truck
439,2022-09-13 18:24,2022-10-13 18:30,full-size
440,2022-11-13 14:24,2022-11-23 18:28,class 1 truck
441,2022-10-11 09:12,2022-11-22 18:28,class 1 truck
442,2022-11-30 07:58,2022-11-30 07:58,class 2 truck
443,2022-10-03 18:30,2022-10-26 10:27,medium
444,2022-11-21 07:32,2022-11-22 07:05,compact
445,2022-11-18 07:39,2022-11-18 07:39,class 2 truck
446,2022-11-09 07:25,2022-11-29 10:33,compact
447,2022-09-23 18:30,2022-11-21 07:56,class 1 truck
448,2022-09-29 07:23,2022-10-13 07:00,class 1 truck
449,2022-10-06 07:35,2022-10-15 10:08,class 1 truck
450,2022-11-02 07:04,2022-11-14 13:16,compact
451,2022-10-27 07:45,2022-10-30 09:23,medium
452,2022-09-21 09:20,2022-10-15 07:08,compact
453,2022-11-25 18:21,2022-11-26 07:58,compact
454,2022-10-26 07:54,2022-11-11 18:30,class 1 truck
455,2022-09-26 07:44,2022-11-25 16:38,class 1 truck
456,2022-09-10 18:28,2022-10-03 17:52,medium
457,2022-11-21 07:51,2022-11-21 07:51,class 2 truck
458,2022-11-07 18:17,2022-11-07 18:17,class 2 truck
459,2022-10-01 10:48,2022-10-01 10:48,class 2 truck
460,2022-10-08 07:35,2022-11-21 14:36,full-size
461,2022-10-22 07:26,2022-10-24 16:05,full-size
462,2022-10-12 07:09,2022-10-12 07:09,medium
463,2022-10-23 18:00,2022-11-27 07:11,compact
464,2022-10-17 10:16,2022-10-17 10:16,class 1 truck
465,2022-11-29 18:30,2022-11-29 18:30,class 2 truck
466,2022-09-23 07:54,2022-11-01 07:55,compact
467,2022-10-24 07:30,2022-10-24 07:30,medium
468,2022-11-26 15:38,2022-11-26 15:38,class 2 truck
469,2022-10-03 07:25,2022-10-16 07:50,full-size
470,2022-10-01 18:30,2022-10-16 07:09,medium
471,2022-10-02 16:33,2022-10-14 14:46,full-size
472,2022-10-08 07:51,2022-10-25 18:30,class 2 truck
473,2022-11-18 07:09,2022-11-23 16:05,class 1 truck
474,2022-09-17 07:02,2022-10-01 10:09,class 1 truck
475,2022-10-13 10:48,2022-11-05 07:29,class 2 truck
476,2022-11-15 07:01,2022-11-15 07:01,class 1 truck
477,2022-09-24 18:30,2022-10-24 07:19,full-size
478,2022-11-04 07:50,2022-11-18 18:30,medium
479,2022-10-29 07:31,2022-10-29 07:31,class 2 truck
480,2022-10-05 11:03,2022-10-12 07:08,full-size
481,2022-11-27 18:30,2022-11-28 07:42,class 1 truck
482,2022-09-18 13:07,2022-10-09 16:34,compact
483,2022-10-01 07:34,2022-10-01 07:34,full-size
484,2022-10-15 07:02,2022-10-16 18:30,class 2 truck
485,2022-09-14 18:30,2022-10-03 07:41,class 2 truck
